id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2329802,Sirius 2-Room Apartment,4347107,George,,Χερσονήσου,35.325,25.38612,Entire home/apt,72,1,14,2018-09-03,0.23,7,33
2330072,"LOTUS villa, pool, sea view, near beach, Rethymno",11901020,Thei,,Ρεθύμνης,35.34536,24.42316,Entire home/apt,140,2,3,2017-08-31,0.05,2,304
2330790,"Mer, montagne, bougainvilliers et citronniers...",10275437,Anne,,Ιεράπετρας,35.05255,25.88367,Entire home/apt,87,7,1,2014-08-24,0.02,1,205
2341858,"Villa Hermes, vue mer, piscine privée",11960529,Beatrice,,Αποκορώνου,35.44385,24.21951,Entire home/apt,147,7,10,2018-06-19,0.17,2,137
2342711,Lemontree Villas Chania Crete max4,6682667,Eleni,,Χανίων,35.5383,24.05952,Entire home/apt,150,1,13,2018-05-24,0.21,2,357
2355404,Morpheus Villa,12027926,Stelios,,Μαλεβιζίου,35.40343,25.01518,Entire home/apt,43,4,43,2019-04-20,0.69,1,180
2372573,Katerina Traditional Rooms (No 1),12049481,Ioannis,,Χανίων,35.51535,24.01703,Private room,50,2,61,2019-04-17,0.97,5,332
2376605,Boutique Award Winning Conte Marino Villas Chania,12141696,Despina-Georgia,,Πλατανιά,35.51064,23.85486,Entire home/apt,240,2,0,,,1,190
2383603,Amalia's House - Sea view house in the Old Town,12176411,Yiouli,,Ρεθύμνης,35.37103,24.47085,Entire home/apt,120,1,26,2019-06-17,0.43,1,267
2398838,New SEASIDE studio Chersonissos,5661888,Eman,,Χερσονήσου,35.31544,25.39818,Entire home/apt,45,2,36,2018-08-06,0.57,3,349
2401259,Pandora luxury Villas Crete with heated Pool,12271931,Gabriele,,Χερσονήσου,35.31031,25.37903,Entire home/apt,400,7,4,2018-06-10,0.07,2,312
2402005,Central Cosy Apartment #22 in Chania Town,12276290,Katerina,,Χανίων,35.51102,24.01036,Entire home/apt,35,3,9,2016-08-28,0.15,24,247
2404440,house with priv. pool near the sea,3569625,Yiannis,,Ρεθύμνης,35.38479,24.60707,Entire home/apt,140,4,5,2016-10-14,0.10,15,301
2404502,Campagna- Mare Elegante ,12289208,Rafaela,,Κισσάμου,35.49026,23.65185,Entire home/apt,58,3,24,2017-07-01,0.39,5,136
2405585,Campagna-mare Bella vista,12289208,Rafaela,,Κισσάμου,35.48925,23.6536,Entire home/apt,68,3,19,2017-09-25,0.31,5,137
2405968,'GALINI Apt',12297930,Nikitas,,Φαιστού,35.02721,24.76231,Entire home/apt,70,2,39,2019-06-06,0.82,1,275
2407721,Central Duplex Studio #24 in Chania town,12276290,Katerina,,Χανίων,35.50945,24.00874,Entire home/apt,45,3,3,2016-09-18,0.05,24,251
2408129,Central Single Studio #13 with balcony,12276290,Katerina,,Χανίων,35.51051,24.00945,Entire home/apt,30,3,7,2015-10-02,0.11,24,363
2408386,Central Studio #43 with balcony  in Chania Town,12276290,Katerina,,Χανίων,35.50931,24.01068,Entire home/apt,40,3,10,2016-08-26,0.16,24,262
2409318,2 bedroom villa near Platanias,51279,Travel & Tourism Greece,,Πλατανιά,35.48828,23.85739,Entire home/apt,80,7,0,,,47,138
2409861,3 bedoom villa near Platanias,51279,Travel & Tourism Greece,,Πλατανιά,35.48879,23.85535,Entire home/apt,85,7,0,,,47,121
2414537,Waterlily apartments,12342468,Ευαγγελία,,Χανίων,35.54788,24.0837,Entire home/apt,57,1,0,,,2,365
2418892,"Villa Elia with private pool, Atsipopoulo center",12362670,Georgios,,Ρεθύμνης,35.35234,24.4343,Entire home/apt,180,4,17,2019-05-18,0.66,3,109
2421938,Villa Ioanna with heated pool,1618063,George,,Αποκορώνου,35.45837,24.20815,Entire home/apt,386,7,14,2019-05-03,0.28,17,259
2424234,Stone made villa in well known village!,12389816,Kostas,,Ρεθύμνης,35.32603,24.67119,Entire home/apt,300,7,8,2019-05-01,0.16,142,274
2427213,The Studio Luxury Apartment w/ pool,12384312,Gavin,,Ιεράπετρας,35.03121,26.00256,Entire home/apt,44,5,4,2018-09-28,0.12,1,324
2427791,Central Spacious Studio #21 in Chania Town,12276290,Katerina,,Χανίων,35.5099,24.01082,Entire home/apt,44,3,4,2016-08-06,0.07,24,265
2428670,Cressa Ghitonia Village Suites,2328418,Aria,,Σητείας,35.15407,25.92399,Private room,159,1,0,,,7,365
2433422,"A villa close to a farm, mountains and beaches!",12439173,Ελευθερια,,Αγίου Βασιλείου,35.17445,24.5154,Entire home/apt,130,7,11,2019-06-02,0.22,2,182
2434003,The Emerald Suite,11780500,Angeliki,,Ρεθύμνης,35.36689,24.49051,Entire home/apt,40,2,38,2018-09-17,0.63,5,61
2434078,Πανοραμική θέα από γαλήνια βίλα με πισίνα,5930689,Stavros,,Ρεθύμνης,35.34214,24.56706,Entire home/apt,300,7,4,2019-04-14,0.07,6,279
2434865,Villa in Crete with private pool and barbecue,12444949,Elisavet,,Ρεθύμνης,35.3259,24.3936,Entire home/apt,180,3,1,2018-09-02,0.10,1,276
2438602,Dream apartment 6 steps from the sea,12465136,Avital,,Σητείας,35.1851,25.9041,Entire home/apt,90,2,64,2019-06-24,1.04,2,322
2443255,Achilleas Suite in Chorafakia,12491504,Leonidas,,Χανίων,35.56386,24.08973,Entire home/apt,130,2,2,2018-06-27,0.08,4,327
2449279,Cressa Ghitonia Vintage Houses,2328418,Aria,,Σητείας,35.15513,25.9248,Private room,160,1,0,,,7,365
2450004,Villa Ikaros - Panoramic View!,12389816,Kostas,,Ρεθύμνης,35.34286,24.56577,Entire home/apt,330,7,6,2017-07-10,0.10,142,279
2450175,"Cressa Ghitonia Village ""House""",2328418,Aria,,Σητείας,35.15411,25.92471,Private room,150,1,1,2016-06-19,0.03,7,365
2450461,Cressa Ghitonia Village Suites,2328418,Aria,,Σητείας,35.1555,25.92448,Private room,150,1,0,,,7,365
2450924,Meet the nature in an old village,12532335,Odysseas,,Καντάνου - Σέλινου,35.30255,23.64887,Entire home/apt,20,3,44,2019-06-04,0.72,2,354
2451148,Contemporary Maisonette with Sea View Roof Terrace,12533409,Manolis,,Χερσονήσου,35.3063,25.36607,Entire home/apt,125,3,48,2019-06-23,0.77,1,302
2459007,Family Suite ,12569511,Alexandros,,Χερσονήσου,35.28222,25.45237,Entire home/apt,75,1,1,2018-07-20,0.09,4,365
2462413,"Villa Penelope, vue mer, piscine privée",11960529,Beatrice,,Αποκορώνου,35.44398,24.21871,Entire home/apt,131,7,3,2018-07-26,0.09,2,102
2462543,Cetnral Cosy Studio #38 in Chania,12276290,Katerina,,Χανίων,35.51123,24.01012,Entire home/apt,40,3,14,2016-09-02,0.23,24,352
2463498,Salvia Villas - Villa Irini,3265954,Stelios,,Ρεθύμνης,35.34846,24.63484,Entire home/apt,200,5,1,2015-08-29,0.02,3,146
2463588,Villa Andreas - 40m to the Beach!,12389816,Kostas,,Μυλοποτάμου,35.41733,24.69267,Entire home/apt,400,7,11,2018-07-21,0.18,142,292
2465407,Wonderful stay at Amari valley...,12606704,Νεktarios,,Αμάριου,35.23834,24.6296,Entire home/apt,40,1,23,2018-09-30,0.68,3,316
2465688,6 persons villa in Maza near Chania,51279,Travel & Tourism Greece,,Αποκορώνου,35.35903,24.21341,Entire home/apt,185,7,0,,,47,121
2466014,Central Single Studio #23 in Chania Town,12276290,Katerina,,Χανίων,35.50971,24.01058,Entire home/apt,32,3,4,2016-08-20,0.08,24,263
2466238,Central Double Studio #32 in Chania Town,12276290,Katerina,,Χανίων,35.51112,24.00921,Entire home/apt,30,2,7,2016-10-23,0.11,24,233
2469066,"Villa Daphne - Full Privacy, Indoor & Outdoor Pool",12389816,Kostas,,Ρεθύμνης,35.37221,24.58918,Entire home/apt,700,7,2,2015-08-17,0.03,142,294
2470947,Dryadesvilla - 8 km from the beach.,12636746,Νikos,,Ρεθύμνης,35.30368,24.46067,Entire home/apt,150,4,10,2019-04-23,0.21,1,273
2475584,Villa Dimitra - Traditional House,12389816,Kostas,,Ρεθύμνης,35.3328,24.6191,Entire home/apt,200,7,8,2017-10-06,0.13,142,41
2476078,Villa Souri,12664428,Yiannis,,Αποκορώνου,35.3953,24.23196,Entire home/apt,42,4,7,2019-06-09,0.12,3,270
2476463,"Giakoumakis Villa, A Peaceful Oasis over the city!",12389816,Kostas,,Ρεθύμνης,35.35908,24.51531,Entire home/apt,900,7,4,2018-10-20,0.08,142,167
2476966,Beautiful house Elea near the sea 4,3276179,Michalis,,Χανίων,35.50822,23.98356,Entire home/apt,69,3,19,2019-06-01,0.32,24,326
2477853,Superior One bedroom Apartment,4155232,Lefteris,,Ρεθύμνης,35.366,24.491,Entire home/apt,35,4,8,2018-10-08,0.22,10,308
2482627,Agamemnon Suite in Chorafakia,12491504,Leonidas,,Χανίων,35.56401,24.0895,Entire home/apt,130,2,0,,,4,304
2484883,Private Villa 300 m² Aris Palace,12715265,Thanos,,Χερσονήσου,35.30187,25.22118,Entire home/apt,217,1,46,2019-06-16,0.78,6,153
2496782,La maison Fabre,12416088,Patrick,,Πλατανιά,35.50665,23.86821,Entire home/apt,250,3,4,2018-07-20,0.07,1,112
2497397,"Villa Kokkinos, 5min Walk to Beach!",12389816,Kostas,,Ρεθύμνης,35.37807,24.57943,Entire home/apt,350,7,10,2019-05-23,0.17,142,142
2497696,"Villa Lambros, Away it From All",12389816,Kostas,,Ρεθύμνης,35.29886,24.36879,Entire home/apt,200,7,2,2015-10-25,0.04,142,287
2499410,Dimitris 2nd studio.,6617904,Dimitris,,Χανίων,35.51492,24.01274,Entire home/apt,30,1,114,2019-06-11,1.85,8,314
2500366,Villa Georgia-Full Privacy-Heated Pool&JetTub!!!,12797366,Peter And Georgia,,Πλατανιά,35.57371,23.76781,Entire home/apt,200,3,7,2016-10-10,0.12,2,70
2503789,Central Double Studio #34 in Chania Town,12276290,Katerina,,Χανίων,35.51081,24.01022,Entire home/apt,37,3,9,2018-08-13,0.19,24,216
2505127,"Joanna's Manor House, Unique Design",12389816,Kostas,,Ρεθύμνης,35.36115,24.57307,Entire home/apt,300,7,2,2018-06-30,0.08,142,151
